Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,enhanced_birth_year,match_status
4908,Hans Richter,American,Male,1888.0,1976.0,,,api_error
4909,Klaus Richter,German,Male,1887.0,1948.0,,,api_error
4910,Roy Richter,American,Male,1914.0,1983.0,,,api_error
4911,Marco Richterich,Swiss,Male,1929.0,,,,api_error
4912,George Rickey,American,Male,1907.0,2002.0,,,api_error
4913,James Riddle,American,Male,1933.0,,,,api_error
4914,John G. Rideout,American,Male,1898.0,1951.0,,,api_error
4915,Lucie Rie,British,Female,1902.0,1995.0,,,api_error
4916,John Rieben,American,Male,1935.0,,,,api_error
4917,Claus Joseph Riedel,Austrian,Male,1925.0,,,,api_error
4918,Richard Riemerschmid,German,Male,1868.0,1957.0,,,api_error
4919,Henry Ries,American,Male,1917.0,2004.0,,,api_error
4920,S. H. Riesenberg,American,,1885.0,1962.0,,,api_error
4921,Dolf Rieser,British,Male,1893.0,1983.0,,,api_error
4922,Gerrit Rietveld,Dutch,Male,1888.0,1964.0,,,api_error
4923,P. Riffaut,French,,,,,,api_error
4924,J.J.J. (Jean-Jacques-Joachim) Rigal,French,Male,1926.0,1997.0,,,api_error
4926,Robert Riggs,American,Male,1896.0,1970.0,,,api_error
4927,Rigobaldi,Italian,,,,,,api_error
4928,Jacob August Riis,American,Male,1849.0,1914.0,,,api_error
4929,Bridget Riley,British,Female,1931.0,,,,api_error
4930,Terry Riley,American,Male,1935.0,,,,api_error
4933,Klaus Rinke,German,Male,1939.0,,,,api_error
4934,Jean-Paul Riopelle,Canadian,Male,1923.0,2002.0,,,api_error
4935,Jozsef Rippl-Rónai,Hungarian,Male,,,,,api_error
4936,Murray Riss,American,Male,1940.0,,,,api_error
4937,James Risser,American,Male,1947.0,,,,api_error
4938,William Rittase,American,Male,1894.0,1968.0,,,api_error
4939,Humberto Rivas,Argentine,Male,1937.0,2009.0,,,api_error
4940,Augusto Rivera,Colombian,Male,1922.0,1982.0,,,api_error
4941,Carlos Raquel Rivera,American,Male,1923.0,1999.0,,,api_error
4942,Diego Rivera,Mexican,Male,1886.0,1957.0,,,api_error
