Artist ID,Name,Nationality,Gender,Birth Year,Death Year
2126,Léon Gérard,French,Male,,
2129,Jules Germain,French,Male,,
2131,Bert Gerresheim,German,Male,,
2132,Ad Gerritsen,Dutch,Male,,
2133,Gershen-Newark,American,,,
2139,Richart Gheym,Nationality unknown,Male,,
2151,Wim Gijzen,Dutch,,1941.0,
2154,Q. O. Gilbert,Nationality unknown,,,
2168,Roy Ginstrom,American,Male,,
2170,Fiorenzo Giorgi,Italian,Male,,
2173,Girard,Nationality unknown,,,
2174,Fritz Girardin,Swiss,,,
2179,A. Gisiger,Swiss,,,
2181,Gits Molding Corp.,American,,,
2185,Glanzman-Parker,American,,1952.0,1970.0
2195,Hermann Glockner,German,Male,,
2197,Nathan Gluck,Nationality unknown,Male,,
2219,Morton Goldsholl,Nationality unknown,Male,,
2235,T. F. Goodall,British,,,
2243,Walter Lippincott Goodwin,American,Male,,
2248,Harry Gordon,,Male,,
2261,W. T. Gossard,American,,,
2285,Lanier Graham,American,,1940.0,
2296,Graphicteam BDG,German,,,
2297,Grapus,French,,1970.0,1991.0
2300,Günter Grass,German,Male,,
2305,Hein Gravenhorst,German,Male,,
2306,A. Graves & Cie.,French,,,
2318,Green,American,,,
2329,Farrell Grehan,American,Male,,
2332,Georg Gresko,German,Male,,
2336,Ezio Gribaudo,Italian,Male,,
2339,John Griffiths,British,Male,,
2367,J. L. Grosse,American,,,
2369,Grosset & Trembley,Swiss,,,
2370,André Grossman,German,Male,,
2377,Gruppo N,,,1959.0,1964.0
2378,Beatrice Grover,American,,1901.0,1994.0
2379,Ronald L. Grow,Nationality unknown,Male,,
2382,Gruppo Architetti Urbanisti Città Nuova,Italian,,1961.0,1991.0
2383,Gryte,Nationality unknown,,,
2387,Klaas Gubbels,Dutch,Male,,
2389,Piero Guccione,Italian,Male,,
2392,Hermano José Guedes,Brazilian,Male,,
2414,Jules Guran,Nationality unknown,Male,,
2415,Melissa Gurdus,American,Female,,
2426,Luke Gwilliam,American,Male,,
2428,H.V.,Spanish,,,
2434,Volkmar Haase,German,Male,,
2440,R. L. Haeberle,Nationality unknown,,1941.0,
2443,M. Hafelmaier,Swiss,,,
2454,C. Haimovitz,American,,,
