Artist ID,Name,Nationality,Gender,Birth Year,Death Year
8297,Pipilotti Rist,Swiss,Female,1962.0,
8305,Marco Castillo,Cuban,Male,1971.0,
8306,Alexandre Arrechea,Cuban,Male,1970.0,
8307,Dagoberto Rodriguez,Cuban,Male,1969.0,
8320,John Morris,American,Male,1965.0,
8327,José Toirac,Cuban,Male,1966.0,
8330,Maurizio Cattelan,Italian,Male,1960.0,
8331,Diana Thater,American,Female,1962.0,
8417,Harri Koskinen,Finnish,Male,1970.0,
8419,Akihiro Kaneko,Japanese,Male,1961.0,
8422,Keiji Otani,Japanese,Male,1967.0,
8427,Louis Henry,American,Male,1971.0,
8434,Pentagram,American,,1972.0,
8440,Peter Cazalet,American,Male,1969.0,
8444,John Currin,American,Male,1962.0,
8445,Margherita Manzelli,Italian,Female,1968.0,
8446,Jodiah Jacobs,American,Male,1962.0,
8452,Jockum Nordström,Swedish,Male,1963.0,
8456,Fernando Campana,Brazilian,Male,1961.0,
8470,John Bock,German,Male,1965.0,
8472,Cecily Brown,British,Female,1969.0,
8479,Beatriz Milhazes,Brazilian,Female,1960.0,
8480,Takashi Murakami,Japanese,Male,1962.0,
8485,Gillian Wearing,British,Female,1963.0,
8486,Pae White,American,Female,1963.0,
8496,Dan Walsh,American,Male,1960.0,
8500,Christopher Giglio,American,Male,1964.0,
8590,Peter G. Kayafas,American,Male,1971.0,
8597,Maria Martinez-Cañas,Cuban,Female,1960.0,
8598,Glen Pettit/The New York Times,American,Male,1971.0,
8600,Igor Moukhin,Russian,Male,1961.0,
8602,Kent Porter/The Press Democrat via Assocated Press,American,Male,1962.0,
8609,Osamu Kanemura,Japanese,Male,1964.0,
8611,Thomas Demand,German,Male,1964.0,
8633,Caroline Feyt,French,Female,1965.0,
8635,Jean Christian Bourcart,French,Male,1960.0,
8656,Georgina Starr,British,Female,1968.0,
8658,Katherine Turczan,American,Female,1965.0,
8692,IDEO,,,1991.0,
8697,Ergonomi Design Gruppen (now Veryday),Swedish,,1969.0,
